Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1479,1479,0,0.905,1.280,77.010,0,0,0,4,1,-10921639,20.131,6,0,146,8314,29.726,5.269,0.835,0.616
ID1108,1108,0,1.457,0.000,77.311,0,1,1,4,1,-10921639,25.053,6,0,174,10347,38.948,2.550,0.847,0.590
ID753,753,0,1.268,0.000,76.553,0,2,2,4,1,-10921639,22.153,9,0,115,9149,28.175,4.275,0.877,0.735
ID1837,1837,0,0.924,0.000,77.311,0,3,3,4,1,-10921639,15.775,6,0,100,6515,22.027,2.441,0.817,0.644
ID2185,2185,0,0.918,0.000,77.690,0,4,4,4,1,-10921639,15.707,7,0,124,6487,23.002,2.377,0.835,0.621
ID3264,3264,0,1.383,0.000,77.690,0,5,5,4,1,-10921639,24.322,12,0,136,10045,29.941,2.582,0.875,0.758
ID2903,2903,0,1.153,0.000,78.069,0,6,6,4,1,-10921639,20.085,8,0,109,8295,26.338,4.123,0.817,0.686
ID3620,3620,0,0.916,0.000,80.343,0,8,8,4,1,-10921639,14.409,3,0,188,5951,30.334,2.345,0.814,0.426
ID3974,3974,0,1.147,0.000,79.206,0,9,9,4,1,-10921639,18.768,5,0,121,7751,28.040,2.501,0.860,0.619
ID4354,4354,0,1.517,0.000,79.585,0,10,10,4,1,-10921639,24.264,7,0,171,10021,38.410,2.443,0.878,0.591
ID4723,4723,0,1.852,0.000,80.343,0,11,11,4,1,-10921639,28.545,4,0,191,11789,48.897,2.457,0.892,0.550
ID5085,5085,0,1.844,0.000,80.343,0,12,12,4,1,-10921639,30.165,7,0,161,12458,42.843,4.056,0.889,0.663
ID5446,5446,0,1.505,0.000,80.343,0,13,13,4,1,-10921639,24.838,6,0,154,10258,35.794,2.558,0.836,0.632
ID5815,5815,0,1.165,0.000,81.480,0,14,14,4,1,-10921639,22.799,7,0,126,9416,30.146,4.376,0.845,0.693
ID6179,6179,0,1.005,0.000,81.859,0,15,15,4,1,-10921639,19.312,10,0,116,7976,24.664,4.595,0.822,0.706
ID6544,6544,0,1.204,0.000,81.859,0,16,16,4,1,-10921639,23.269,7,0,118,9610,30.646,4.172,0.804,0.677
ID6914,6914,0,1.582,0.000,81.859,0,17,17,4,1,-10921639,28.511,7,0,147,11775,36.604,4.139,0.835,0.709
ID7286,7286,0,1.709,0.000,83.375,0,18,18,4,1,-10921639,27.366,7,0,170,11302,41.973,2.482,0.865,0.605
ID8022,8022,0,1.737,0.000,84.133,0,19,19,4,1,-10921639,27.741,6,0,176,11457,43.252,2.492,0.858,0.592
ID7648,7648,0,1.719,0.000,83.754,0,20,20,4,1,-10921639,29.550,11,0,176,12204,39.942,4.285,0.874,0.690
ID8387,8387,0,1.141,0.000,84.512,0,21,21,4,1,-10921639,23.068,9,0,141,9527,31.902,4.832,0.831,0.656
ID8744,8744,0,0.797,1.386,84.957,0,22,22,4,1,-10921639,19.625,10,0,109,8105,22.568,4.451,0.807,0.777
ID9109,9109,0,0.834,0.632,85.414,0,23,23,4,1,-10921639,19.315,9,0,124,7977,24.279,5.044,0.807,0.711
ID9465,9465,0,0.823,0.000,86.407,0,24,24,4,1,-10921639,20.269,13,0,105,8371,23.128,7.137,0.833,0.797
ID9836,9836,0,1.225,0.000,86.028,0,25,25,4,1,-10921639,23.673,13,0,121,9777,28.696,4.954,0.867,0.766
ID10216,10216,0,0.859,1.736,86.236,0,26,26,4,1,-10921639,21.046,11,0,126,8692,25.381,2.519,0.825,0.750
ID10956,10956,0,1.478,0.000,86.786,0,28,28,4,1,-10921639,26.845,11,0,179,11087,37.606,4.161,0.873,0.665
ID11323,11323,0,2.198,0.000,86.407,0,29,29,4,1,-10921639,35.525,8,0,220,14672,52.224,3.852,0.903,0.645
ID11702,11702,0,2.158,0.000,86.786,0,30,30,4,1,-10921639,34.315,6,0,222,14172,55.123,2.479,0.882,0.584
ID12068,12068,0,1.305,0.000,87.922,0,31,31,4,1,-10921639,20.877,4,0,167,8622,36.348,2.430,0.850,0.528
ID12438,12438,0,1.716,0.000,87.922,0,32,32,4,1,-10921639,28.157,8,0,239,11629,48.930,2.453,0.876,0.538
ID12794,12794,0,1.385,0.000,87.922,0,33,33,4,1,-10921639,23.460,8,0,145,9689,33.527,2.536,0.853,0.644
ID13160,13160,0,1.401,0.000,88.680,0,34,34,4,1,-10921639,23.596,8,0,156,9745,33.889,3.956,0.877,0.651
ID13514,13514,0,1.628,0.000,90.196,0,35,35,4,1,-10921639,24.969,4,0,198,10312,43.237,2.412,0.891,0.544
ID13877,13877,0,1.710,0.000,90.196,0,36,36,4,1,-10921639,25.671,3,0,194,10602,48.199,2.434,0.898,0.504
ID14250,14250,0,1.428,0.000,90.575,0,37,37,4,1,-10921639,22.610,3,0,166,9338,38.497,2.471,0.874,0.548
ID14978,14978,0,1.494,0.000,90.575,0,38,38,4,1,-10921639,23.448,3,0,227,9684,42.228,2.488,0.867,0.516
ID14608,14608,0,1.313,0.000,90.575,0,39,39,4,1,-10921639,20.196,2,0,188,8341,38.207,2.491,0.863,0.490
ID15355,15355,0,1.421,0.000,91.333,0,40,40,4,1,-10921639,23.867,6,0,121,9857,32.840,2.567,0.898,0.688
ID15717,15717,0,1.304,0.000,92.470,0,41,41,4,1,-10921639,23.513,10,0,98,9711,27.046,4.125,0.837,0.792
ID16080,16080,0,1.422,0.000,91.712,0,42,42,4,1,-10921639,27.593,15,0,139,11396,33.648,4.366,0.847,0.752
