track_id,x,y,frame
0,199,169,11
1,147,128,12
2,240,503,12
0,196,171,12
3,457,230,12
4,491,143,12
1,147,132,13
2,243,504,13
0,193,173,13
3,461,228,13
4,493,144,13
1,147,132,14
2,246,507,14
0,190,177,14
3,461,228,14
4,499,149,14
1,147,132,15
2,247,511,15
0,187,177,15
5,303,215,15
3,461,228,15
4,499,149,15
6,424,405,15
1,147,132,16
2,248,515,16
0,184,181,16
5,301,210,16
3,461,228,16
4,499,149,16
6,420,408,16
1,147,132,17
2,247,516,17
0,188,177,17
5,298,204,17
3,461,228,17
4,499,149,17
6,410,418,17
7,168,234,17
1,147,132,18
2,247,515,18
0,191,175,18
5,296,199,18
3,461,228,18
4,499,149,18
6,403,424,18
7,183,229,18
1,147,132,19
2,249,516,19
0,191,176,19
5,294,194,19
3,461,228,19
4,499,149,19
6,402,424,19
7,191,236,19
8,399,531,19
9,243,253,19
1,147,132,20
2,249,516,20
0,192,176,20
5,294,188,20
3,461,228,20
4,499,149,20
6,397,424,20
7,205,245,20
8,398,526,20
9,243,243,20
10,368,179,20
1,147,132,21
2,249,516,21
0,189,179,21
5,294,185,21
3,461,228,21
4,499,149,21
6,385,429,21
7,211,253,21
8,398,526,21
9,241,235,21
10,363,183,21
2,249,515,22
0,186,182,22
5,295,181,22
11,310,270,22
4,499,149,22
6,367,435,22
7,223,256,22
8,398,526,22
9,226,235,22
10,357,186,22
12,84,505,22
2,249,515,23
0,182,186,23
5,296,179,23
11,310,270,23
6,347,439,23
7,236,253,23
8,398,526,23
9,220,238,23
10,351,187,23
12,76,516,23
2,249,515,24
0,173,193,24
5,299,178,24
11,310,270,24
6,324,446,24
7,246,262,24
8,398,526,24
9,219,247,24
10,345,188,24
12,76,516,24
2,249,515,25
0,166,198,25
5,302,176,25
11,310,270,25
6,305,445,25
7,255,274,25
8,398,526,25
9,224,262,25
10,339,188,25
12,76,516,25
2,249,515,26
0,163,200,26
5,303,182,26
11,310,270,26
13,153,437,26
6,283,453,26
7,262,286,26
8,398,526,26
9,238,283,26
10,324,194,26
12,76,516,26
2,249,515,27
0,163,201,27
5,304,191,27
11,310,270,27
13,134,472,27
6,268,456,27
7,271,297,27
8,398,526,27
9,254,298,27
10,302,201,27
12,76,516,27
2,249,515,28
0,165,198,28
14,235,45,28
5,305,195,28
11,310,270,28
13,113,499,28
6,256,460,28
7,283,306,28
8,398,526,28
9,270,308,28
10,294,201,28
12,76,516,28
2,249,515,29
0,162,200,29
14,233,43,29
5,305,194,29
11,306,270,29
13,95,519,29
6,242,466,29
7,296,311,29
9,284,312,29
10,290,199,29
12,74,521,29
15,374,20,29
2,249,515,30
0,158,200,30
14,233,43,30
5,308,189,30
11,306,270,30
13,95,519,30
16,379,-5,30
6,222,477,30
7,315,320,30
9,301,319,30
10,291,194,30
12,74,521,30
15,373,8,30
0,155,197,31
14,233,43,31
5,309,185,31
11,306,270,31
13,95,519,31
16,379,-3,31
6,203,487,31
7,330,331,31
9,320,328,31
10,294,187,31
12,74,521,31
15,369,-1,31
0,153,192,32
14,233,43,32
5,309,181,32
11,306,270,32
13,95,519,32
16,379,-3,32
6,186,496,32
7,340,344,32
9,333,341,32
17,517,196,32
10,296,181,32
12,74,521,32
15,369,-1,32
0,149,192,33
14,232,41,33
5,306,179,33
11,306,270,33
13,95,519,33
