,alpha,beta,TP Tracks,FN Tracks,FP Tracks,JSC Tracks,RMSE,Min,Max,SD,TP Positions,FN Positions,FP Positions,JSC Positions,OSPA
50Hz_ENNJPDAF,0.6247067648755633,0.6012559346053123,42.0,13.0,12.0,0.6268656716417911,2423.7591166368234,49.946112862230144,7574.918750563873,1859.0399792065152,4600.0,1579.0,1082.0,0.6335215535050268,1569.8339717066424
15Hz_ENNJPDAF,0.8181814700760012,0.7830172489732845,41.0,17.0,7.0,0.6307692307692307,312.483422579419,42.983926275561714,1037.6891581209534,225.07669335160622,1715.0,200.0,197.0,0.8120265151515151,198.40262368262105
60Hz_NN,0.6481450801687567,0.5503851903093546,41.0,16.0,32.0,0.4606741573033708,2877.1810974861187,89.62565579296462,5963.964815060939,2016.041923061542,5260.0,2104.0,1858.0,0.5703751897636088,1868.4646162398835
40Hz_PDAF,0.4178982634580266,0.3132702340562618,38.0,11.0,38.0,0.4367816091954023,2969.71568279489,50.805642848893534,5288.085837634679,1532.4432648047214,2691.0,1902.0,2183.0,0.39713695395513576,1989.4578551193713
30Hz_ENNJPDAF,0.7317819873005456,0.7029290750363546,43.0,12.0,8.0,0.6825396825396826,1062.2278286870549,45.984775772984996,3176.1394732928475,773.6024083501463,3232.0,657.0,560.0,0.7264553832321871,644.5823357895903
7Hz_NN,0.6410506133702741,0.5320328410354108,37.0,17.0,12.0,0.5606060606060606,314.96835284530397,15.522202155582542,801.4529309422065,216.57152987160993,635.0,180.0,264.0,0.5885078776645042,181.82545548561137
15Hz_JPDAF,0.7617492693782739,0.7030119763177805,41.0,17.0,8.0,0.6212121212121212,435.92574295009496,43.85414228992308,1415.340858245609,293.63491447148624,1702.0,213.0,263.0,0.7814508723599632,272.8574310241486
40Hz_ENNJPDAF,0.7411944136431994,0.6799093153311793,38.0,11.0,12.0,0.6229508196721312,1572.9872383367724,50.8056428757025,5467.96604249429,1311.7518680370708,3674.0,919.0,786.0,0.6830265848670757,852.1471467310855
60Hz_GNN,0.7114216806716862,0.6599784903585661,41.0,16.0,18.0,0.5466666666666666,2287.646241822211,89.62565579296462,6397.2747925312615,1636.851387165437,5913.0,1451.0,1325.0,0.6805155944297387,1372.2964218879006
7Hz_JPDAF,0.57790057346247,0.517570293815289,35.0,19.0,8.0,0.5645161290322581,315.463176793202,40.76714392966726,549.1142776912984,165.46791479277766,651.0,164.0,182.0,0.6529588766298897,191.50467816341427
30Hz_NN,0.6991745443071178,0.6330737221159455,44.0,11.0,15.0,0.6285714285714286,1553.2765527688866,45.984775772984996,4462.555736174878,1213.4423334980197,3043.0,846.0,703.0,0.6626742160278746,752.7200210532782
30Hz_GNN,0.7347370680602363,0.7024785605344127,44.0,11.0,9.0,0.6875,1186.1747043803396,45.984775772984996,4216.430021229514,903.8330788883646,3234.0,655.0,566.0,0.725925925925926,625.5284047300028
50Hz_NN,0.6412905152652997,0.5747801122460526,47.0,8.0,19.0,0.6351351351351351,2192.104485727566,49.946112862230144,7100.531444983617,1587.3005920340433,4519.0,1660.0,1295.0,0.6046293818571046,1506.9403553488428
7Hz_PDAF,0.48868263692787384,0.3778712989527677,36.0,18.0,14.0,0.5294117647058824,407.7620825219814,40.767144029899754,740.1345664505923,181.2827858811911,620.0,195.0,349.0,0.5326460481099656,300.68404397439883
60Hz_JPDAF,0.47662174917091704,0.4301804830119663,39.0,18.0,16.0,0.5342465753424658,3846.873071679761,98.0211217029503,8211.40607004239,2166.745984538872,4887.0,2477.0,2495.0,0.4956892179734253,2452.0933885530367
30Hz_JPDAF,0.6073968885926773,0.5465450304095696,39.0,16.0,10.0,0.6,1352.9416139963535,45.984775772984996,2666.1705930058283,773.3593988787444,3160.0,729.0,762.0,0.6794237798322942,957.0546668385141
40Hz_NN,0.6678334643650097,0.5534751176161115,38.0,11.0,21.0,0.5428571428571428,1859.0939171451796,50.8056428757025,3605.9128224746783,1336.5294180968835,3361.0,1232.0,1220.0,0.5781868226389127,1131.786555460862
60Hz_PDAF,0.3765136449128492,0.3046194771630655,43.0,14.0,44.0,0.42574257425742573,4626.060822684884,98.02112169659662,8849.280592239455,2440.991094147379,4162.0,3202.0,2782.0,0.41021092055982655,3085.849663539827
50Hz_GNN,0.6997731041283286,0.6637853869218517,42.0,13.0,13.0,0.6176470588235294,1774.398830486215,49.946112862230144,7097.615406199697,1381.580184570041,4923.0,1256.0,940.0,0.6915297092288243,1239.8812620930669
7Hz_GNN,0.6330112765261936,0.5770740384439013,38.0,16.0,6.0,0.6333333333333333,311.2182951937089,40.76714392966726,712.188054639883,201.7792411309024,645.0,170.0,193.0,0.6398809523809523,152.76577593681287
15Hz_NN,0.8211247760816075,0.7115176227132481,40.0,18.0,13.0,0.5633802816901409,324.37959575981006,42.983926275561714,1108.4745186640419,251.75987372618138,1684.0,231.0,366.0,0.7382726874177992,262.10917719979386
40Hz_GNN,0.7796246523855862,0.7137365015760411,39.0,10.0,11.0,0.65,1283.032395358283,50.8056428757025,5241.0465536248785,1067.3572677236386,3875.0,718.0,672.0,0.7359924026590693,714.4910923597824
7Hz_ENNJPDAF,0.6229751257526204,0.5573268139279753,37.0,17.0,7.0,0.6065573770491803,319.536632370983,40.76714392966726,714.7314382479041,209.38002687633264,629.0,186.0,212.0,0.6124634858812074,158.19716857839268
30Hz_PDAF,0.4429011567869552,0.346811713369938,41.0,14.0,33.0,0.4659090909090909,2325.8212952763056,45.984775727192,4202.011658973683,1270.916953287646,2589.0,1300.0,1398.0,0.48969169661433704,1457.136070775725
15Hz_PDAF,0.6058933406796135,0.4818380276027787,40.0,16.0,15.0,0.5633802816901409,732.0238133380054,46.2817867176115,1533.948510923915,408.646566278926,1516.0,360.0,640.0,0.6025437201907791,592.135088169947
50Hz_JPDAF,0.525967403321099,0.4880541500407074,40.0,15.0,14.0,0.5797101449275363,2437.353340658055,49.946112862230144,6460.262317562852,1600.710157359497,4283.0,1896.0,1188.0,0.5813764083073164,2148.225381685116
15Hz_GNN,0.8196010073848301,0.7843757766826335,41.0,17.0,7.0,0.6307692307692307,309.7592005006643,42.983926275561714,1037.6891581209534,223.84619355904348,1715.0,200.0,197.0,0.8120265151515151,196.7672759404508
50Hz_PDAF,0.4223468884431527,0.3435147326168541,48.0,7.0,37.0,0.5217391304347826,3503.595602857276,49.94611283202495,7621.481450329545,2057.1158615658755,3768.0,2411.0,2104.0,0.45490764215863816,2486.5676755795976
40Hz_JPDAF,0.5714724363935213,0.5069086327453541,35.0,14.0,12.0,0.5737704918032787,2089.52745607548,50.8056428757025,5510.843426193525,1382.1252780852872,3203.0,1390.0,1223.0,0.5507221458046767,1412.7718979939891
60Hz_ENNJPDAF,0.7180459021218516,0.6602185070826964,41.0,16.0,18.0,0.5466666666666666,2284.453993971766,89.62565579296462,8113.776406878527,1677.6579400506978,5971.0,1393.0,1311.0,0.6882997118155619,1360.2482543750104
