,alpha,beta,TP Tracks,FN Tracks,FP Tracks,JSC Tracks,RMSE,Min,Max,SD,TP Positions,FN Positions,FP Positions,JSC Positions
dataset_1_30Hz_tracking_jpdaf,0.5868262962072961,0.56050344058908,35.0,20.0,10.0,0.5384615384615384,1045.261377434415,47.45195132135555,2773.840391144293,718.5269285354783,2530.0,1026.0,429.0,0.6348808030112923
dataset_1_30Hz_tracking_pdaf,0.46949676226808124,0.3897129987454008,38.0,17.0,23.0,0.48717948717948717,2034.2584525437542,47.45195132294505,4522.158348476784,1335.8532782172927,2194.0,1362.0,1060.0,0.47530329289428075
dataset_1_30Hz_tracking_NN,0.644782893902429,0.5915500440446434,37.0,18.0,15.0,0.5285714285714286,1112.1392606341697,47.45195132135555,3494.105355869885,874.0014510144166,2496.0,1060.0,517.0,0.612816106064326
dataset_1_30Hz_tracking_enn_jpdaf,0.7153940078480796,0.7054745124536248,37.0,18.0,9.0,0.578125,662.0979699585507,47.45195132135555,2646.851438658179,514.8638326258504,2777.0,779.0,161.0,0.7471078827011031
dataset_1_30Hz_tracking_GNN,0.7226320370622632,0.7126121807524703,37.0,18.0,9.0,0.578125,634.1722151382392,47.45195132135555,2646.851438658179,501.2758186625567,2799.0,757.0,156.0,0.7540409482758621
dataset_2_30Hz_tracking_jpdaf,0.4658271904759037,0.4434891691027614,49.0,38.0,9.0,0.5104166666666666,1528.1509345037327,83.40834232891146,3866.8762785978647,928.6765689418235,3163.0,1582.0,847.0,0.5656294706723891
dataset_2_30Hz_tracking_pdaf,0.3769051917674191,0.3116248710465941,52.0,35.0,20.0,0.48598130841121495,1826.8480611509035,153.516393942369,4327.919473470648,980.8248779402418,2846.0,1899.0,1556.0,0.45167433740676083
dataset_2_30Hz_tracking_NN,0.5875429027348218,0.5135183410345789,59.0,28.0,17.0,0.5673076923076923,1310.7368960586518,56.66464266186796,4391.298747447294,908.1334937106102,3323.0,1422.0,1077.0,0.5707660597732738
dataset_2_30Hz_tracking_enn_jpdaf,0.5501300579184827,0.5207195541239179,52.0,35.0,8.0,0.5473684210526316,1192.6168319094077,56.66464266186796,3773.6964608062717,833.7124297331986,3137.0,1608.0,877.0,0.5579864816791178
dataset_2_30Hz_tracking_GNN,0.523998711512968,0.49108708001758505,52.0,35.0,9.0,0.5416666666666666,1301.1188322040243,56.66464266186796,3773.6964608062717,882.7400206135728,3031.0,1714.0,992.0,0.5283249084887572
dataset_1_40Hz_tracking_jpdaf,0.5316194167830715,0.489279798178093,48.0,15.0,17.0,0.6,2287.5756295547703,65.46416801809224,5886.555687572418,1666.4224638462772,3229.0,1717.0,961.0,0.5466395801591333
dataset_1_40Hz_tracking_pdaf,0.4451983359672367,0.34239635666209806,48.0,15.0,41.0,0.46153846153846156,2630.903846633752,94.17369580495168,5839.731416464023,1713.1299159206142,2907.0,2039.0,1841.0,0.4283188448504494
dataset_1_40Hz_tracking_NN,0.5541387325203952,0.48024709497912643,50.0,13.0,29.0,0.5434782608695652,2279.145141032156,52.825022805281044,5730.850000343363,1698.0999958978832,3167.0,1779.0,1338.0,0.5039783577339274
dataset_1_40Hz_tracking_enn_jpdaf,0.6771434350414629,0.6454329215099395,49.0,14.0,15.0,0.6282051282051282,1617.53075723633,47.40669808912193,5459.164856409858,1332.190942927777,3780.0,1166.0,551.0,0.6876478078952156
dataset_1_40Hz_tracking_GNN,0.6780232723408669,0.6473944218142718,50.0,13.0,14.0,0.6493506493506493,1795.5538132692407,52.825022805281044,5777.530707498161,1483.470243033202,3795.0,1151.0,544.0,0.6912568306010929
dataset_1_10Hz_tracking_jpdaf,0.511292275168119,0.4704427606463466,33.0,18.0,8.0,0.559322033898305,537.9156242777132,40.46562701740536,1241.1158502388016,312.5777769971591,714.0,334.0,221.0,0.5626477541371159
dataset_1_10Hz_tracking_pdaf,0.47893359085243403,0.3860941563179622,33.0,18.0,13.0,0.515625,605.9996298836274,40.465626966003605,1183.7113256628566,365.02113890783033,702.0,346.0,391.0,0.48783877692842254
dataset_1_10Hz_tracking_NN,0.6178781433386049,0.5364840880023678,36.0,15.0,13.0,0.5625,436.94754635358385,40.46562701740536,1081.5522934018131,306.2877448318518,742.0,306.0,264.0,0.5655487804878049
dataset_1_10Hz_tracking_enn_jpdaf,0.5751305626735654,0.5301115476533831,35.0,16.0,9.0,0.5833333333333334,467.1828226212192,40.46562701740536,1121.3686881528179,300.1416539612862,730.0,318.0,238.0,0.567651632970451
dataset_1_10Hz_tracking_GNN,0.575973846603909,0.5313561542613526,35.0,16.0,9.0,0.5833333333333334,479.1924241904701,40.46562701740536,1121.3686881528179,309.1295810140487,744.0,304.0,223.0,0.5853658536585366
dataset_2_10Hz_tracking_jpdaf,0.5416935624570784,0.49319595974847813,50.0,26.0,14.0,0.5555555555555556,388.5122313996478,81.44421355107222,955.7523780106542,197.82735318682705,898.0,302.0,308.0,0.5954907161803713
dataset_2_10Hz_tracking_pdaf,0.4866970692458934,0.3896174003302682,49.0,27.0,19.0,0.5157894736842106,443.55996760682916,123.6707493988865,1001.9560333944245,219.78986884036988,876.0,324.0,444.0,0.5328467153284672
dataset_2_10Hz_tracking_NN,0.5989885536446384,0.5152589708771084,51.0,25.0,15.0,0.5604395604395604,352.205229200745,49.08773772601109,945.9317575493412,217.49181948731925,901.0,299.0,383.0,0.5691724573594441
dataset_2_10Hz_tracking_enn_jpdaf,0.6043301605915055,0.5448506331403504,51.0,25.0,14.0,0.5666666666666667,336.1251838959851,49.08773772601109,839.0390206181493,196.38540754749653,908.0,292.0,310.0,0.6013245033112583
dataset_2_10Hz_tracking_GNN,0.516651744375038,0.47111101310793746,51.0,25.0,14.0,0.5666666666666667,428.28508808338813,55.530652552142065,1204.3820626386123,239.13223659584986,837.0,363.0,385.0,0.5280757097791798
dataset_2_40Hz_tracking_jpdaf,0.5234586630899245,0.48072300456796063,64.0,22.0,13.0,0.6464646464646465,2013.09326296393,130.63522198592858,5180.853609939951,1283.4992045572942,4849.0,1934.0,1620.0,0.5770558133999762
dataset_2_40Hz_tracking_pdaf,0.3632823844380567,0.26995447125803446,69.0,17.0,56.0,0.4859154929577465,2668.298901583128,187.20389563029104,5338.72138362711,1346.4238645825844,3882.0,2901.0,3389.0,0.3816358631537554
dataset_2_40Hz_tracking_NN,0.5819116402820224,0.47486846198664073,69.0,17.0,36.0,0.5655737704918032,1853.147676287971,78.03127614148603,4647.464101488427,1212.211637632669,4542.0,2241.0,2326.0,0.4986277308156768
